date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2023-07-05,sh.600089,21.9700,4.887931,1.440483,0.828917,-57.603542
2023-07-06,sh.600089,21.9400,4.881257,1.438516,0.827785,-57.524885
