code,code_name,ipoDate,outDate,type,status
sh.601901,方正证券,2011-08-10,,1,1
sh.601919,中远海控,2007-06-26,,1,1
sh.601939,建设银行,2007-09-25,,1,1
sh.601966,玲珑轮胎,2016-07-06,,1,1
sh.601985,中国核电,2015-06-10,,1,1
sh.601988,中国银行,2006-07-05,,1,1
sh.601989,中国重工,2009-12-16,,1,1
sh.601995,中金公司,2020-11-02,,1,1
sh.601998,中信银行,2007-04-27,,1,1
sh.603019,中科曙光,2014-11-06,,1,1
sh.603185,上机数控,2018-12-28,,1,1
sh.603195,公牛集团,2020-02-06,,1,1
sh.603259,药明康德,2018-05-08,,1,1
sh.603260,合盛硅业,2017-10-30,,1,1
sh.603288,海天味业,2014-02-11,,1,1
sh.603290,斯达半导,2020-02-04,,1,1
sh.603369,今世缘,2014-07-03,,1,1
sh.603392,万泰生物,2020-04-29,,1,1
sh.603486,科沃斯,2018-05-28,,1,1
sh.603501,韦尔股份,2017-05-04,,1,1
sh.603659,璞泰来,2017-11-03,,1,1
sh.603799,华友钴业,2015-01-29,,1,1
sh.603806,福斯特,2014-09-05,,1,1
sh.603833,欧派家居,2017-03-28,,1,1
sh.603882,金域医学,2017-09-08,,1,1
sh.603899,晨光股份,2015-01-27,,1,1
sh.603986,兆易创新,2016-08-18,,1,1
sh.603993,洛阳钼业,2012-10-09,,1,1
sh.605117,德业股份,2021-04-20,,1,1
sh.605499,东鹏饮料,2021-05-27,,1,1
sh.688005,容百科技,2019-07-22,,1,1
sh.688008,澜起科技,2019-07-22,,1,1
sh.688012,中微公司,2019-07-22,,1,1
sh.688036,传音控股,2019-09-30,,1,1
sh.688065,凯赛生物,2020-08-12,,1,1
sh.688111,金山办公,2019-11-18,,1,1
sh.688126,沪硅产业,2020-04-20,,1,1
sh.688169,石头科技,2020-02-21,,1,1
sh.688187,时代电气,2021-09-07,,1,1
sh.688303,大全能源,2021-07-22,,1,1
sh.688363,华熙生物,2019-11-06,,1,1
sh.688396,华润微,2020-02-27,,1,1
sh.688561,奇安信,2020-07-22,,1,1
sh.688599,天合光能,2020-06-10,,1,1
sh.688981,中芯国际,2020-07-16,,1,1
sz.000001,平安银行,1991-04-03,,1,1
sz.000002,万科A,1991-01-29,,1,1
sz.000063,中兴通讯,1997-11-18,,1,1
sz.000069,华侨城A,1997-09-10,,1,1
sz.000100,TCL科技,2004-01-30,,1,1
sz.000157,中联重科,2000-10-12,,1,1
sz.000166,申万宏源,2015-01-26,,1,1
sz.000301,东方盛虹,2000-05-29,,1,1
sz.000333,美的集团,2013-09-18,,1,1
sz.000338,潍柴动力,2007-04-30,,1,1
sz.000408,藏格矿业,1996-06-28,,1,1
sz.000425,徐工机械,1996-08-28,,1,1
sz.000538,云南白药,1993-12-15,,1,1
sz.000568,泸州老窖,1994-05-09,,1,1
sz.000596,古井贡酒,1996-09-27,,1,1
sz.000625,长安汽车,1997-06-10,,1,1
sz.000651,格力电器,1996-11-18,,1,1
sz.000661,长春高新,1996-12-18,,1,1
sz.000708,中信特钢,1997-03-26,,1,1
sz.000723,美锦能源,1997-05-15,,1,1
sz.000725,京东方A,2001-01-12,,1,1
sz.000733,振华科技,1997-07-03,,1,1
sz.000768,中航西飞,1997-06-26,,1,1
sz.000776,广发证券,1997-06-11,,1,1
sz.000786,北新建材,1997-06-06,,1,1
sz.000792,盐湖股份,1997-09-04,,1,1
