code,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,pubDate,statDate
sh.600097,0.397807,0.602193,0.583755,3.3131559999999998,-0.6301979999999999,-59.097356000000005,-0.6301979999999999,2023-04-29,2023-03-31
sh.600098,0.234143,0.765857,0.309623,3.8178370000000004,0.072909,1.7787580000000003,0.072825,2023-04-29,2023-03-31
sh.600099,0.7608229999999999,0.239177,0.611075,18.911614,-0.11197,-9.322234,-0.11197,2023-04-28,2023-03-31
sh.600100,0.544031,0.45596899999999996,0.193021,2.819426,-0.393405,-8.771949000000001,-0.393405,2023-04-29,2023-03-31
sh.600101,0.31987600000000005,0.680124,0.63726,,0.20553200000000002,2.31108,0.20553200000000002,2023-04-27,2023-03-31
sh.600103,0.626654,0.373346,0.617055,36.412665999999994,-0.11826099999999999,-1.3041639999999999,-0.11826099999999999,2023-04-28,2023-03-31
sh.600104,0.589015,0.41098500000000004,0.24029099999999998,19.310201,-0.070122,-2.390148,-0.067595,2023-04-29,2023-03-31
sh.600105,0.472235,0.5277649999999999,0.30833699999999997,1.693352,0.066461,2.085123,0.066461,2023-04-27,2023-03-31
sh.600106,0.318831,0.6811689999999999,0.659655,5.52395,1.4876200000000002,1.304007,1.4876200000000002,2023-04-29,2023-03-31
sh.600107,0.49242600000000003,0.507574,0.33266399999999996,-0.347445,-0.509749,,-0.509749,2023-04-29,2023-03-31
sh.600108,0.460462,0.539538,0.130474,1.8913200000000001,0.02306,0.55008,0.02306,2023-04-26,2023-03-31
sh.600109,,,,,-0.573318,-1.8575979999999999,-0.573318,2023-04-26,2023-03-31
sh.600110,0.5473180000000001,0.452682,0.409573,3.6096760000000003,0.029911,0.5172329999999999,0.029911,2023-04-29,2023-03-31
sh.600111,0.75037,0.24963000000000002,0.49216899999999997,22.965779,0.10276099999999999,1.0034129999999999,0.10276099999999999,2023-04-29,2023-03-31
sh.600112,0.160226,0.839774,0.0172,-0.756663,-0.269493,,-0.269493,2023-04-29,2023-03-31
sh.600113,0.5305479999999999,0.46945200000000004,0.456,,0.086771,0.61868,0.086771,2023-04-29,2023-03-31
sh.600114,0.36361,0.63639,0.21918200000000002,1.3820620000000001,0.056409,3.894907,0.056409,2023-04-27,2023-03-31
sh.600115,0.11123800000000002,0.888762,0.006208,-1.910131,0.29940300000000003,,0.29940300000000003,2023-04-29,2023-03-31
sh.600116,0.241722,0.758278,0.295646,0.34747,-0.157631,,-0.157631,2023-04-26,2023-03-31
sh.600117,0.384115,0.615885,-0.11441099999999998,-1.756276,0.040708,,0.040708,2023-04-29,2023-03-31
sh.600118,0.757369,0.24263099999999999,0.330748,,-0.414245,-8.376275999999999,-0.414245,2023-04-28,2023-03-31
sh.600119,0.7547050000000001,0.24529499999999999,0.195419,-0.787902,-0.042689,,-0.042689,2023-04-25,2023-03-31
sh.600120,0.488491,0.511509,0.376715,14.161183,0.18779,1.863521,0.137183,2023-04-28,2023-03-31
