date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2023-07-05,sh.600011,9.4500,-35.485483,3.083395,0.601219,87.603117
2023-07-06,sh.600011,9.3900,-35.260179,3.063817,0.597401,87.046907
