date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2023-07-05,sh.600036,33.0300,5.915057,0.967897,2.425571,-11.336112
2023-07-06,sh.600036,32.5800,5.834470,0.954710,2.392525,-11.181669
