date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2023-07-05,sh.600031,16.6800,33.746986,2.130859,1.802332,132.227601
2023-07-06,sh.600031,16.5200,33.423273,2.110420,1.785044,130.959231
